ErrorType,InjectionType,Key,Old Value,New Value,Error Message,SpecMessage,SpecCaught,SpecPlugin,Log Message,Reaction App,Reaction Spec,Pinpoint Spec,Vocab Spec,Pinpoint App,Vocab App,Personify App,LeakInt App,Comment
Domain Error,inject/domain,system/lyrebird/sli/Device,/tmp/fakeDriver,eth0,sli: open(eth0) failed (No such file or directory),Given path 'eth0' is not absolute,X,path,"sli: open(eth0) failed (No such file or directory)
Driver [sli] init failed, return code -1
Could not load driver sli
There is no output driver
Critical error while initializing, abort.",BAD,BAD,NONE,NONE,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/deletion,system/lyrebird/NoritakeVFD/Size,20x4,2x4,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/deletion,system/lyrebird/menu/EnterKey,Enter,Eter,Error opening terminal: unknown.,,,,Error opening terminal: unknown.,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/curses/Backlight,red,#FF0000,Error opening terminal: unknown.,"The type 'enum' failed to match for 'system/lyrebird/curses/system\/temporarySpec' with string: '#FF0000'
Allowed values: 'red' 'black' 'green' 'yellow' 'blue' 'magenta' 'cyan' 'white'",X,type,Error opening terminal: unknown.,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,BUG
Structure Error,inject/structure/section/duplicate,system/lyrebird/serialVFD/Device,system/lyrebird/serialVFD/Device,system/lyrebird,"serialVFD: The number of Custom-Characters must be between 0 and 99. Using default
serialVFD_init_serial: open() of /dev/lcd failed (No such file or directory)
serialVFD: unable to initialize io-port",,,,"serialVFD: The number of Custom-Characters must be between 0 and 99. Using default
serialVFD_init_serial: open() of /dev/lcd failed (No such file or directory)
serialVFD: unable to initialize io-port
Driver [serialVFD] init failed, return code -1
Could not load driver serialVFD
There is no output driver
Critical error while initializing, abort.",BAD,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Structure Error,inject/structure/section/reallocate,system/lyrebird/lcdm001/Device,system/lyrebird/lcdm001/Device,system/lyrebird/hd44780,lcdm001: open(8980896) failed (No such file or directory),,,path,"lcdm001: open(8980896) failed (No such file or directory)
Driver [lcdm001] init failed, return code -1
Could not load driver lcdm001
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/server/ReportLevel,2,72,Error opening terminal: unknown.,Value '72' not within range 0-5,X,range,Error opening terminal: unknown.,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Domain Error,inject/domain,system/lyrebird/hd44780/BacklightCmdOn,(null),on,,"Key value failed to validate. Reason: 4 bytes can be encoded, as integer number in big-endian order (0x0000-0xFFFF)",X,validation,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,BUG
Structure Error,inject/structure/section/reallocate,system/lyrebird/glcd/Brightness,system/lyrebird/glcd/Brightness,system/lyrebird/server,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/mtc_s16209x/Device,/tmp/fakeDriver,/tmp/fakeDrivter,mtc_s16209x: open(/tmp/fakeDrivter) failed (No such file or directory),"Could not stat file, message: Unknown error from key: system/lyrebird/mtc_s16209x/system\/temporarySpec with path: /tmp/fakeDrivter",X,path,"mtc_s16209x: open(/tmp/fakeDrivter) failed (No such file or directory)
Driver [mtc_s16209x] init failed, return code -1
Could not load driver mtc_s16209x
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,GOOD,BAD,PARTLY,GOOD,BAD,GOOD,
Typo Error,inject/typo/change/char,system/lyrebird/curses/Size,20x4,20xZ,curses: cannot read Size: 20xZ; using default 20x4,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"curses: cannot read Size: 20xZ; using default 20x4
Error opening terminal: unknown.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Domain Error,inject/domain,system/lyrebird/CFontz/Device,/tmp/fakeDriver,eth0,CFontz: open(eth0) failed (No such file or directory),Given path 'eth0' is not absolute,X,path,"CFontz: open(eth0) failed (No such file or directory)
Driver [CFontz] init failed, return code -1
Could not load driver CFontz
There is no output driver
Critical error while initializing, abort.",BAD,BAD,NONE,NONE,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/sed1330/CellSize,6x10,20 x 4,Invalid character 'x' on line 1174 of /tmp/lcdd-tmp.conf,Key value failed to validate. Reason: Width x Height of a character cell in pixels [legal: 6x7 - 8x16],X,validation,"Invalid character 'x' on line 1174 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/reallocate,system/lyrebird/imonlcd/Size,system/lyrebird/imonlcd/Size,system/lyrebird/lis,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/picolcd/LircHost,(null),local,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/hd44780/OutputPort,system/lyrebird/hd44780/OutputPort,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/transposition,system/lyrebird/glcd/Port,0x378,x0378,,Key value failed to validate. Reason: Not a valid port declaration. legal: 0x200 - 0x400,X,validation,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/change/char,system/lyrebird/glcd/ConnectionType,t6963,t696D,glcd: unknown ConnectionType: t696D,"The type 'enum' failed to match for 'system/lyrebird/glcd/system\/temporarySpec' with string: 't696D'
Allowed values: 't6963' 'png' 'serdisplib' 'glcd2usb' 'x11' 'picolcdgfx' 'xyz'",X,type,"glcd: unknown ConnectionType: t696D
Driver [glcd] init failed, return code -1
Could not load driver glcd
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,GOOD,GOOD,PARTLY,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/duplicate,system/lyrebird/serialVFD/Port,system/lyrebird/serialVFD/Port,system/lyrebird/glcdlib/Backlight,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,,,,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Structure Error,inject/structure/section/reallocate,system/lyrebird/glcd/Size,system/lyrebird/glcd/Size,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/IOWarrior/Lastline,(null),true,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/CFontz/Size,system/lyrebird/CFontz/Size,system/lyrebird/EyeboxOne/DownKey,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Structure Error,inject/structure/section/remove,system/lyrebird/EyeboxOne/EscapeKey,system/lyrebird/EyeboxOne/EscapeKey,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Domain Error,inject/domain,system/lyrebird/pyramid/Device,/tmp/fakeDriver,eth0,pyramid: open(eth0) failed: No such file or directory,Given path 'eth0' is not absolute,X,path,"pyramid: open(eth0) failed: No such file or directory
Driver [pyramid] init failed, return code -1
Could not load driver pyramid
There is no output driver
Critical error while initializing, abort.",BAD,BAD,NONE,NONE,NONE,NONE,NONE,NONE,
Domain Error,inject/domain,system/lyrebird/lcdm001/Device,/tmp/fakeDriver,eth0,lcdm001: open(37353984) failed (No such file or directory),Given path 'eth0' is not absolute,X,path,"lcdm001: open(37353984) failed (No such file or directory)
Driver [lcdm001] init failed, return code -1
Could not load driver lcdm001
There is no output driver
Critical error while initializing, abort.",BAD,BAD,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/sed1330/CellSize,system/lyrebird/sed1330/CellSize,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/transposition,system/lyrebird/curses/Backlight,red,rde,Error opening terminal: unknown.,"The type 'enum' failed to match for 'system/lyrebird/curses/system\/temporarySpec' with string: 'rde'
Allowed values: 'red' 'black' 'green' 'yellow' 'blue' 'magenta' 'cyan' 'white'",X,type,Error opening terminal: unknown.,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,BUG
Domain Error,inject/domain,system/lyrebird/imonlcd/Device,/tmp/fakeDriver,eth0,imonlcd: ERROR opening eth0 (No such file or directory).,Given path 'eth0' is not absolute,X,path,"imonlcd: ERROR opening eth0 (No such file or directory).
imonlcd: Did you load the iMON kernel module?
Driver [imonlcd] init failed, return code -1
Could not load driver imonlcd
There is no output driver
Critical error while initializing, abort.",BAD,BAD,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/server/ScrollDownKey,system/lyrebird/server/ScrollDownKey,system/lyrebird/hd44780,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Typo Error,inject/typo/space,system/lyrebird/server/port,13666,'    13666  ',Error opening terminal: unknown.,The type 'unsigned_short' failed to match for 'system/lyrebird/server/system\/temporarySpec' with string '    13666  ',X,type,Error opening terminal: unknown.,DEFAULT,GOOD,GOOD,GOOD,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/glcd/KeyMap_A,Up,mUp,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Limit Error,inject/limit/min,system/lyrebird/picolcd/KeyTimeout,500,0,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/curses/Size,20x4,20 x 4,Invalid character 'x' on line 235 of /tmp/lcdd-tmp.conf,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"Invalid character 'x' on line 235 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,Different reaction compared to other typos
Typo Error,inject/typo/deletion,system/lyrebird/glcd/serdisp_name,t6963,t693,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/IOWarrior/ExtendedMode,(null),0,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/hd44780/Lastline,system/lyrebird/hd44780/Lastline,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/menu/LeftKey,system/lyrebird/menu/LeftKey,system/lyrebird,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Semantic Error,inject/semantic,system/lyrebird/imonlcd/Size,(null),20 * 4,Invalid character '*' on line 750 of /tmp/lcdd-tmp.conf,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"Invalid character '*' on line 750 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/reallocate,system/lyrebird/menu/LeftKey,system/lyrebird/menu/LeftKey,system/lyrebird,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/space,system/lyrebird/MD8800/Device,/tmp/fakeDriver,'     /tmp/fakeDriver    ',MD8800: open() of      /tmp/fakeDriver     failed (No such file or directory),Given path '     /tmp/fakeDriver    ' is not absolute,X,path,"MD8800: open() of      /tmp/fakeDriver     failed (No such file or directory)
Driver [MD8800] init failed, return code -1
Could not load driver MD8800
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Domain Error,inject/domain,system/lyrebird/hd44780/LineAddress,(null),40,,"Key value failed to validate. Reason: Not a line Address. eg. 0x20, 0x10",X,validation,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,BUG
Typo Error,inject/typo/change/char,system/lyrebird/glcd/picolcdgfx_Inverted,no,go,,The value 'go' of key 'system/lyrebird/glcd/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/bayrad/Device,system/lyrebird/bayrad/Device,system/lyrebird/picolcd,bayrad: Read error in BayRAD getchar,,,,"bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar
bayrad: Read error in BayRAD getchar",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Typo Error,inject/typo/case/toggle,system/lyrebird/CwLnx/KeyMap_F,Escape,EscApe,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/reallocate,system/lyrebird/MtxOrb/Speed,system/lyrebird/MtxOrb/Speed,system/lyrebird,MtxOrb: failed to configure port (Inappropriate ioctl for device),,,range,"MtxOrb: failed to configure port (Inappropriate ioctl for device)
Driver [MtxOrb] init failed, return code -1
Could not load driver MtxOrb
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/lb216/Speed,9600,9K600,,"Value '9K600' not within range 2400, 9600",X,range,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/sed1520/HaveInverter,no,off,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Elektra normalization
Limit Error,inject/limit/min,system/lyrebird/glcd/Brightness,(null),0,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/hd44780/Contrast,system/lyrebird/hd44780/Contrast,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Structure Error,inject/structure/section/duplicate,system/lyrebird/server/hello,system/lyrebird/server/hello,system/lyrebird/glcdlib/Backlight,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Typo Error,inject/typo/insertion,system/lyrebird/picolcd/Key4Light,on,ono,,The value 'ono' of key 'system/lyrebird/picolcd/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/space,system/lyrebird/glcd/useFT2,yes,'  yes   ',,The value '  yes   ' of key 'system/lyrebird/glcd/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,DEFAULT,GOOD,GOOD,BAD,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/ula200/KeyMap_A,(null),,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/reallocate,system/lyrebird/lb216/Device,system/lyrebird/lb216/Device,system/lyrebird/hd44780/Device,lb216: open(/dev/lcd) failed (No such file or directory),,,path,"lb216: open(/dev/lcd) failed (No such file or directory)
Driver [lb216] init failed, return code -1
Could not load driver lb216
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/remove,system/lyrebird/t6963/Port,system/lyrebird/t6963/Port,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/remove,system/lyrebird/hd44780/LineAddress,system/lyrebird/hd44780/LineAddress,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/reallocate,system/lyrebird/menu/LeftKey,system/lyrebird/menu/LeftKey,system/lyrebird/MtxOrb/Device,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/sed1330/Type,system/lyrebird/sed1330/Type,system/lyrebird,sed1330: you need to specify the display type,,,,"sed1330: you need to specify the display type
Driver [sed1330] init failed, return code -1
Could not load driver sed1330
There is no output driver
Critical error while initializing, abort.",BAD,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,"BUG: No display type default, elektra provides one!"
Typo Error,inject/typo/deletion,system/lyrebird/sed1330/ConnectionType,classic,lassic,sed1330: Unknown ConnectionType lassic,"The type 'enum' failed to match for 'system/lyrebird/sed1330/system\/temporarySpec' with string: 'lassic'
Allowed values: 'classic' 'bitshaker'",X,type,"sed1330: Unknown ConnectionType lassic
Driver [sed1330] init failed, return code -1
Could not load driver sed1330
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,GOOD,GOOD,PARTLY,GOOD,BAD,GOOD,
Typo Error,inject/typo/deletion,system/lyrebird/picolcd/OffBrightness,0,,,The type 'unsigned_short' failed to match for 'system/lyrebird/picolcd/system\/temporarySpec' with string '',X,type,,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/IOWarrior/Size,system/lyrebird/IOWarrior/Size,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/remove,system/lyrebird/bayrad/Device,system/lyrebird/bayrad/Device,null,bayrad: open(/dev/lcd) failed (No such file or directory),,,path,"bayrad: open(/dev/lcd) failed (No such file or directory)
Driver [bayrad] init failed, return code -1
Could not load driver bayrad
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/space,system/lyrebird/IOWarrior/ExtendedMode,no,'   no ',,The value '   no ' of key 'system/lyrebird/IOWarrior/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,DEFAULT,GOOD,GOOD,BAD,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/ula200/Size,20x4,s20x4,ula200: cannot read Size s20x4,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"ula200: cannot read Size s20x4
Driver [ula200] init failed, return code -1
Could not load driver ula200
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Semantic Error,inject/semantic,system/lyrebird/lcdm001/ForwardKey,DownKey,Alt+F,lcdm001: invalid config setting for ForwardKey; using default RightKey,,,,lcdm001: invalid config setting for ForwardKey; using default RightKey,GOOD,NONE,NONE,NONE,PARTLY,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/remove,system/lyrebird/serialPOS/Type,system/lyrebird/serialPOS/Type,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/menu/RightKey,Right,Righ6t,Error opening terminal: unknown.,,,,Error opening terminal: unknown.,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/lcdm001/MainMenuKey,system/lyrebird/lcdm001/MainMenuKey,system/lyrebird,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Structure Error,inject/structure/section/reallocate,system/lyrebird/joy/Map_Button2,system/lyrebird/joy/Map_Button2,system/lyrebird/pyramid,There is no output driver,,,type,"There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/reallocate,system/lyrebird/hd44780/Speed,system/lyrebird/hd44780/Speed,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/deletion,system/lyrebird/curses/Size,20x4,204,curses: cannot read Size: 204; using default 20x4,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"curses: cannot read Size: 204; using default 20x4
Error opening terminal: unknown.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/reallocate,system/lyrebird/icp_a106/Device,system/lyrebird/icp_a106/Device,system/lyrebird/serialVFD/Speed,icp_a106: init() failed (No such file or directory),,,path,"icp_a106: init() failed (No such file or directory)
Driver [icp_a106] init failed, return code -1
Could not load driver icp_a106
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/remove,system/lyrebird/xosd/offset,system/lyrebird/xosd/offset,null,xosd: xosd_set_font() failed,,,type,"xosd: xosd_set_font() failed
Driver [xosd] init failed, return code -1
Could not load driver xosd
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/hd44780/Backlight,system/lyrebird/hd44780/Backlight,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Structure Error,inject/structure/section/reallocate,system/lyrebird/picolcd/Key3Light,system/lyrebird/picolcd/Key3Light,system/lyrebird/glk,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Domain Error,inject/domain,system/lyrebird/glcd/x11_BacklightColor,(null),#FF0000,,"Key value failed to validate. Reason: Colors are in RRGGBB format prefixed with ""0x""",X,validation,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/EyeboxOne/Speed,system/lyrebird/EyeboxOne/Speed,null,,,,range,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/space,system/lyrebird/hd44780/KeyMatrix_4_3,Down,'     Down  ',,,,,,DEFAULT,NONE,NONE,NONE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,BUG
Structure Error,inject/structure/section/remove,system/lyrebird/glk/Speed,system/lyrebird/glk/Speed,null,glk: unable to open device /tmp/fakeDriver,,,range,"glk: unable to open device /tmp/fakeDriver
Driver [glk] init failed, return code -1
Could not load driver glk
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/lis/Brightness,1000,10K00,lis: cannot open USB device 403:6001,The type 'unsigned_short' failed to match for 'system/lyrebird/lis/system\/temporarySpec' with string '10K00',X,type,"lis: cannot open USB device 403:6001
Driver [lis] init failed, return code -1
Could not load driver lis
There is no output driver
Critical error while initializing, abort.",NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/deletion,system/lyrebird/glcd/KeyMap_C,Enter,Entr,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/case/toggle,system/lyrebird/glcd/Port,0x378,0X378,,Key value failed to validate. Reason: Not a valid port declaration. legal: 0x200 - 0x400,X,validation,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/deletion,system/lyrebird/vlsys_m428/Device,/tmp/fakeDriver,/tmpfakeDriver,vlsys_m428: could not open /tmpfakeDriver (No such file or directory),"Could not stat file, message: Unknown error from key: system/lyrebird/vlsys_m428/system\/temporarySpec with path: /tmpfakeDriver",X,path,"vlsys_m428: could not open /tmpfakeDriver (No such file or directory)
Driver [vlsys_m428] init failed, return code -1
Could not load driver vlsys_m428
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,GOOD,BAD,PARTLY,GOOD,BAD,GOOD,
Typo Error,inject/typo/transposition,system/lyrebird/server/ScrollDownKey,Down,nowD,Error opening terminal: unknown.,,,,Error opening terminal: unknown.,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/reallocate,system/lyrebird/rawserial/Updaterate,system/lyrebird/rawserial/Updaterate,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/case/toggle,system/lyrebird/MtxOrb/KeyMap_C,Up,UP,MtxOrb: failed to configure port (Inappropriate ioctl for device),,,,"MtxOrb: failed to configure port (Inappropriate ioctl for device)
Driver [MtxOrb] init failed, return code -1
Could not load driver MtxOrb
There is no output driver
Critical error while initializing, abort.",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/server/ToggleRotateKey,system/lyrebird/server/ToggleRotateKey,system/lyrebird/serialPOS,Error opening terminal: unknown.,,,,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Domain Error,inject/domain,system/lyrebird/hd44780/Device,/tmp/fakeDriver,eth0,,Given path 'eth0' is not absolute,X,path,,NONE,BAD,NONE,NONE,NONE,NONE,NONE,NONE,BUG
